LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,0,1,0,0,0,Alpine,25/10/2020,26/10/2020
Ararat (RC),VIC220,11845,0,7,0,0,0,Ararat,25/10/2020,26/10/2020
Ballarat (C),VIC241,109505,0,58,0,0,0,Ballarat,25/10/2020,26/10/2020
Banyule (C),VIC188,131631,6,451,4.6,0,1,Banyule,25/10/2020,26/10/2020
Bass Coast (S),VIC173,36320,0,11,0,0,0,Bass Coast,25/10/2020,26/10/2020
Baw Baw (S),VIC194,53396,0,16,0,0,0,Baw Baw,25/10/2020,26/10/2020
Bayside (C),VIC182,106862,1,246,0.9,0,1,Bayside,25/10/2020,26/10/2020
Benalla (RC),VIC199,14037,0,3,0,0,0,Benalla,25/10/2020,26/10/2020
Boroondara (C),VIC201,183199,1,271,0.5,0,1,Boroondara,25/10/2020,26/10/2020
Brimbank (C),VIC189,209523,8,2023,3.8,0,1,Brimbank,25/10/2020,26/10/2020
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,25/10/2020,26/10/2020
Campaspe (S),VIC239,37622,0,10,0,0,0,Campaspe,25/10/2020,26/10/2020
Cardinia (S),VIC212,112159,0,204,0,0,0,Cardinia,25/10/2020,26/10/2020
Casey (C),VIC213,353872,1,1059,0.3,0,1,Casey,25/10/2020,26/10/2020
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,25/10/2020,26/10/2020
Colac-Otway (S),VIC224,21564,0,137,0,0,0,Colac-Otway,25/10/2020,26/10/2020
Corangamite (S),VIC231,16020,0,3,0,0,0,Corangamite,25/10/2020,26/10/2020
Darebin (C),VIC205,164184,7,661,4.3,0,1,Darebin,25/10/2020,26/10/2020
East Gippsland (S),VIC243,47316,0,7,0,0,0,East Gippsland,25/10/2020,26/10/2020
Frankston (C),VIC227,142643,1,251,0.7,0,1,Frankston,25/10/2020,26/10/2020
Gannawarra (S),VIC214,10472,0,2,0,0,0,Gannawarra,25/10/2020,26/10/2020
Glen Eira (C),VIC177,156511,1,232,0.6,0,1,Glen Eira,25/10/2020,26/10/2020
Glenelg (S),VIC223,19674,0,20,0,0,0,Glenelg,25/10/2020,26/10/2020
Golden Plains (S),VIC230,23722,0,18,0,0,0,Golden Plains,25/10/2020,26/10/2020
Greater Bendigo (C),VIC193,118093,0,100,0,0,0,Greater Bendigo,25/10/2020,26/10/2020
Greater Dandenong (C),VIC247,168201,3,541,1.8,0,1,Greater Dandenong,25/10/2020,26/10/2020
Greater Geelong (C),VIC215,258934,0,366,0,0,0,Greater Geelong,25/10/2020,26/10/2020
Greater Shepparton (C),VIC93,66498,2,52,3,0,1,Greater Shepparton,25/10/2020,26/10/2020
Hepburn (S),VIC94,15975,0,2,0,0,0,Hepburn,25/10/2020,26/10/2020
Hindmarsh (S),VIC152,5588,0,0,0,0,0,Hindmarsh,25/10/2020,26/10/2020
Hobsons Bay (C),VIC235,97751,3,504,3.1,0,1,Hobsons Bay,25/10/2020,26/10/2020
Horsham (RC),VIC153,19921,0,14,0,0,0,Horsham,25/10/2020,26/10/2020
Hume (C),VIC198,233471,14,1668,6,0,1,Hume,25/10/2020,26/10/2020
Indigo (S),VIC191,16701,0,1,0,0,0,Indigo,25/10/2020,26/10/2020
Kingston (C),VIC226,165782,0,299,0,0,0,Kingston,25/10/2020,26/10/2020
Knox (C),VIC209,164538,2,166,1.2,0,1,Knox,25/10/2020,26/10/2020
Latrobe (C),VIC219,75561,0,56,0,0,0,Latrobe,25/10/2020,26/10/2020
Loddon (S),VIC185,7504,0,5,0,0,0,Loddon,25/10/2020,26/10/2020
Macedon Ranges (S),VIC228,50231,0,57,0,0,0,Macedon Ranges,25/10/2020,26/10/2020
Manningham (C),VIC195,127573,1,166,0.8,0,1,Manningham,25/10/2020,26/10/2020
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,25/10/2020,26/10/2020
Maribyrnong (C),VIC234,93448,4,594,4.3,0,1,Maribyrnong,25/10/2020,26/10/2020
Maroondah (C),VIC207,118558,0,104,0,0,0,Maroondah,25/10/2020,26/10/2020
Melbourne (C),VIC132,178955,2,881,1.1,0,1,Melbourne,25/10/2020,26/10/2020
Melton (C),VIC237,164895,7,1153,4.2,0,1,Melton,25/10/2020,26/10/2020
Mildura (RC),VIC222,55777,0,6,0,0,0,Mildura,25/10/2020,26/10/2020
Mitchell (S),VIC211,46082,0,90,0,0,0,Mitchell,25/10/2020,26/10/2020
Moira (S),VIC190,29925,0,12,0,0,0,Moira,25/10/2020,26/10/2020
Monash (C),VIC210,202847,2,337,1,0,1,Monash,25/10/2020,26/10/2020
Moonee Valley (C),VIC121,130294,1,814,0.8,0,1,Moonee Valley,25/10/2020,26/10/2020
Moorabool (S),VIC236,35049,0,38,0,0,0,Moorabool,25/10/2020,26/10/2020
Moreland (C),VIC131,185767,1,1050,0.5,0,1,Moreland,25/10/2020,26/10/2020
Mornington Peninsula (S),VIC204,167636,0,183,0,0,0,Mornington Peninsula,25/10/2020,26/10/2020
Mount Alexander (S),VIC105,19754,0,9,0,0,0,Mount Alexander,25/10/2020,26/10/2020
Moyne (S),VIC229,16953,0,1,0,0,0,Moyne,25/10/2020,26/10/2020
Murrindindi (S),VIC250,14570,0,9,0,0,0,Murrindindi,25/10/2020,26/10/2020
Nillumbik (S),VIC216,65094,0,136,0,0,0,Nillumbik,25/10/2020,26/10/2020
Northern Grampians (S),VIC166,11402,0,3,0,0,0,Northern Grampians,25/10/2020,26/10/2020
Other,,,0,196,0,0,0,,25/10/2020,26/10/2020
Port Phillip (C),VIC208,115601,3,295,2.6,0,1,Port Phillip,25/10/2020,26/10/2020
Pyrenees (S),VIC217,7472,0,3,0,0,0,Pyrenees,25/10/2020,26/10/2020
Queenscliffe (B),VIC238,2940,0,2,0,0,0,Queenscliffe,25/10/2020,26/10/2020
South Gippsland (S),VIC178,29914,0,11,0,0,0,South Gippsland,25/10/2020,26/10/2020
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,25/10/2020,26/10/2020
Stonnington (C),VIC203,117768,1,260,0.8,0,1,Stonnington,25/10/2020,26/10/2020
Strathbogie (S),VIC110,10781,0,2,0,0,0,Strathbogie,25/10/2020,26/10/2020
Surf Coast (S),VIC225,33456,0,15,0,0,0,Surf Coast,25/10/2020,26/10/2020
Swan Hill (RC),VIC180,20649,0,5,0,0,0,Swan Hill,25/10/2020,26/10/2020
Towong (S),VIC187,6040,0,0,0,0,0,Towong,25/10/2020,26/10/2020
Wangaratta (RC),VIC186,29187,0,2,0,0,0,Wangaratta,25/10/2020,26/10/2020
Warrnambool (C),VIC179,35181,0,13,0,0,0,Warrnambool,25/10/2020,26/10/2020
Wellington (S),VIC218,44380,0,16,0,0,0,Wellington,25/10/2020,26/10/2020
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,25/10/2020,26/10/2020
Whitehorse (C),VIC196,178739,3,217,1.7,0,1,Whitehorse,25/10/2020,26/10/2020
Whittlesea (C),VIC197,230238,2,1205,0.9,0,1,Whittlesea,25/10/2020,26/10/2020
Wodonga (RC),VIC192,42083,0,2,0,0,0,Wodonga,25/10/2020,26/10/2020
Wyndham (C),VIC221,270487,14,2265,5.2,0,1,Wyndham,25/10/2020,26/10/2020
Yarra (C),VIC202,101495,0,458,0,0,0,Yarra,25/10/2020,26/10/2020
Yarra Ranges (S),VIC206,159462,0,250,0,0,0,Yarra Ranges,25/10/2020,26/10/2020
Yarriambiack (S),VIC200,6639,0,1,0,0,0,Yarriambiack,25/10/2020,26/10/2020
