Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LANP - 4 Digit Level by LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"LGA (UR)","Moonee Valley (C)"

"Counting","LGA (UR)","LANP - 4 Digit Level","Count",
"Persons Place of Usual Residence","Moonee Valley (C)","Northern European Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Celtic, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Gaelic (Scotland)",6
"Persons Place of Usual Residence","Moonee Valley (C)","Irish",10
"Persons Place of Usual Residence","Moonee Valley (C)","Welsh",7
"Persons Place of Usual Residence","Moonee Valley (C)","Celtic, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","English",75216
"Persons Place of Usual Residence","Moonee Valley (C)","German and Related Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","German",325
"Persons Place of Usual Residence","Moonee Valley (C)","Letzeburgish",0
"Persons Place of Usual Residence","Moonee Valley (C)","Yiddish",6
"Persons Place of Usual Residence","Moonee Valley (C)","Dutch and Related Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Dutch",97
"Persons Place of Usual Residence","Moonee Valley (C)","Frisian",0
"Persons Place of Usual Residence","Moonee Valley (C)","Afrikaans",39
"Persons Place of Usual Residence","Moonee Valley (C)","Scandinavian, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Danish",20
"Persons Place of Usual Residence","Moonee Valley (C)","Icelandic",0
"Persons Place of Usual Residence","Moonee Valley (C)","Norwegian",8
"Persons Place of Usual Residence","Moonee Valley (C)","Swedish",62
"Persons Place of Usual Residence","Moonee Valley (C)","Scandinavian, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Finnish and Related Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Estonian",15
"Persons Place of Usual Residence","Moonee Valley (C)","Finnish",16
"Persons Place of Usual Residence","Moonee Valley (C)","Finnish and Related Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Southern European Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","French",339
"Persons Place of Usual Residence","Moonee Valley (C)","Greek",3631
"Persons Place of Usual Residence","Moonee Valley (C)","Iberian Romance, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Catalan",0
"Persons Place of Usual Residence","Moonee Valley (C)","Portuguese",193
"Persons Place of Usual Residence","Moonee Valley (C)","Spanish",1208
"Persons Place of Usual Residence","Moonee Valley (C)","Iberian Romance, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Italian",7916
"Persons Place of Usual Residence","Moonee Valley (C)","Maltese",645
"Persons Place of Usual Residence","Moonee Valley (C)","Other Southern European Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Basque",0
"Persons Place of Usual Residence","Moonee Valley (C)","Latin",4
"Persons Place of Usual Residence","Moonee Valley (C)","Other Southern European Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Eastern European Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Baltic, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Latvian",22
"Persons Place of Usual Residence","Moonee Valley (C)","Lithuanian",10
"Persons Place of Usual Residence","Moonee Valley (C)","Hungarian",83
"Persons Place of Usual Residence","Moonee Valley (C)","East Slavic, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Belorussian",0
"Persons Place of Usual Residence","Moonee Valley (C)","Russian",153
"Persons Place of Usual Residence","Moonee Valley (C)","Ukrainian",283
"Persons Place of Usual Residence","Moonee Valley (C)","South Slavic, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Bosnian",91
"Persons Place of Usual Residence","Moonee Valley (C)","Bulgarian",11
"Persons Place of Usual Residence","Moonee Valley (C)","Croatian",981
"Persons Place of Usual Residence","Moonee Valley (C)","Macedonian",486
"Persons Place of Usual Residence","Moonee Valley (C)","Serbian",280
"Persons Place of Usual Residence","Moonee Valley (C)","Slovene",86
"Persons Place of Usual Residence","Moonee Valley (C)","Serbo-Croatian/Yugoslavian, so described",46
"Persons Place of Usual Residence","Moonee Valley (C)","West Slavic, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Czech",17
"Persons Place of Usual Residence","Moonee Valley (C)","Polish",360
"Persons Place of Usual Residence","Moonee Valley (C)","Slovak",22
"Persons Place of Usual Residence","Moonee Valley (C)","Czechoslovakian, so described",0
"Persons Place of Usual Residence","Moonee Valley (C)","Other Eastern European Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Albanian",88
"Persons Place of Usual Residence","Moonee Valley (C)","Aromunian (Macedo-Romanian)",5
"Persons Place of Usual Residence","Moonee Valley (C)","Romanian",35
"Persons Place of Usual Residence","Moonee Valley (C)","Romany",5
"Persons Place of Usual Residence","Moonee Valley (C)","Other Eastern European Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Southwest and Central Asian Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Iranic, nfd",5
"Persons Place of Usual Residence","Moonee Valley (C)","Kurdish",12
"Persons Place of Usual Residence","Moonee Valley (C)","Pashto",19
"Persons Place of Usual Residence","Moonee Valley (C)","Balochi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Dari",12
"Persons Place of Usual Residence","Moonee Valley (C)","Persian (excluding Dari)",421
"Persons Place of Usual Residence","Moonee Valley (C)","Hazaraghi",3
"Persons Place of Usual Residence","Moonee Valley (C)","Iranic, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Middle Eastern Semitic Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Arabic",1723
"Persons Place of Usual Residence","Moonee Valley (C)","Hebrew",5
"Persons Place of Usual Residence","Moonee Valley (C)","Assyrian Neo-Aramaic",129
"Persons Place of Usual Residence","Moonee Valley (C)","Chaldean Neo-Aramaic",18
"Persons Place of Usual Residence","Moonee Valley (C)","Mandaean (Mandaic)",4
"Persons Place of Usual Residence","Moonee Valley (C)","Middle Eastern Semitic Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Turkic, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Turkish",634
"Persons Place of Usual Residence","Moonee Valley (C)","Azeri",0
"Persons Place of Usual Residence","Moonee Valley (C)","Tatar",0
"Persons Place of Usual Residence","Moonee Valley (C)","Turkmen",0
"Persons Place of Usual Residence","Moonee Valley (C)","Uygur",0
"Persons Place of Usual Residence","Moonee Valley (C)","Uzbek",0
"Persons Place of Usual Residence","Moonee Valley (C)","Turkic, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Other Southwest and Central Asian Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Armenian",10
"Persons Place of Usual Residence","Moonee Valley (C)","Georgian",0
"Persons Place of Usual Residence","Moonee Valley (C)","Other Southwest and Central Asian Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Southern Asian Languages, nfd",43
"Persons Place of Usual Residence","Moonee Valley (C)","Dravidian, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kannada",61
"Persons Place of Usual Residence","Moonee Valley (C)","Malayalam",183
"Persons Place of Usual Residence","Moonee Valley (C)","Tamil",287
"Persons Place of Usual Residence","Moonee Valley (C)","Telugu",296
"Persons Place of Usual Residence","Moonee Valley (C)","Tulu",4
"Persons Place of Usual Residence","Moonee Valley (C)","Dravidian, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Indo-Aryan, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Bengali",140
"Persons Place of Usual Residence","Moonee Valley (C)","Gujarati",250
"Persons Place of Usual Residence","Moonee Valley (C)","Hindi",898
"Persons Place of Usual Residence","Moonee Valley (C)","Konkani",17
"Persons Place of Usual Residence","Moonee Valley (C)","Marathi",48
"Persons Place of Usual Residence","Moonee Valley (C)","Nepali",388
"Persons Place of Usual Residence","Moonee Valley (C)","Punjabi",388
"Persons Place of Usual Residence","Moonee Valley (C)","Sindhi",7
"Persons Place of Usual Residence","Moonee Valley (C)","Sinhalese",335
"Persons Place of Usual Residence","Moonee Valley (C)","Urdu",238
"Persons Place of Usual Residence","Moonee Valley (C)","Assamese",4
"Persons Place of Usual Residence","Moonee Valley (C)","Dhivehi",7
"Persons Place of Usual Residence","Moonee Valley (C)","Kashmiri",8
"Persons Place of Usual Residence","Moonee Valley (C)","Oriya",19
"Persons Place of Usual Residence","Moonee Valley (C)","Fijian Hindustani",0
"Persons Place of Usual Residence","Moonee Valley (C)","Indo-Aryan, nec",5
"Persons Place of Usual Residence","Moonee Valley (C)","Other Southern Asian Languages",7
"Persons Place of Usual Residence","Moonee Valley (C)","Southeast Asian Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Burmese and Related Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Burmese",23
"Persons Place of Usual Residence","Moonee Valley (C)","Chin Haka",0
"Persons Place of Usual Residence","Moonee Valley (C)","Karen",3
"Persons Place of Usual Residence","Moonee Valley (C)","Rohingya",0
"Persons Place of Usual Residence","Moonee Valley (C)","Zomi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Burmese and Related Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Hmong-Mien, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Hmong",0
"Persons Place of Usual Residence","Moonee Valley (C)","Hmong-Mien, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Mon-Khmer, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Khmer",27
"Persons Place of Usual Residence","Moonee Valley (C)","Vietnamese",2732
"Persons Place of Usual Residence","Moonee Valley (C)","Mon",0
"Persons Place of Usual Residence","Moonee Valley (C)","Mon-Khmer, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Tai, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Lao",48
"Persons Place of Usual Residence","Moonee Valley (C)","Thai",236
"Persons Place of Usual Residence","Moonee Valley (C)","Tai, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Southeast Asian Austronesian Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Bisaya",5
"Persons Place of Usual Residence","Moonee Valley (C)","Cebuano",6
"Persons Place of Usual Residence","Moonee Valley (C)","IIokano",0
"Persons Place of Usual Residence","Moonee Valley (C)","Indonesian",189
"Persons Place of Usual Residence","Moonee Valley (C)","Malay",78
"Persons Place of Usual Residence","Moonee Valley (C)","Tetum",0
"Persons Place of Usual Residence","Moonee Valley (C)","Timorese",7
"Persons Place of Usual Residence","Moonee Valley (C)","Tagalog",269
"Persons Place of Usual Residence","Moonee Valley (C)","Filipino",239
"Persons Place of Usual Residence","Moonee Valley (C)","Acehnese",0
"Persons Place of Usual Residence","Moonee Valley (C)","Balinese",0
"Persons Place of Usual Residence","Moonee Valley (C)","Bikol",0
"Persons Place of Usual Residence","Moonee Valley (C)","Iban",0
"Persons Place of Usual Residence","Moonee Valley (C)","Ilonggo (Hiligaynon)",0
"Persons Place of Usual Residence","Moonee Valley (C)","Javanese",0
"Persons Place of Usual Residence","Moonee Valley (C)","Pampangan",0
"Persons Place of Usual Residence","Moonee Valley (C)","Southeast Asian Austronesian Languages, nec",4
"Persons Place of Usual Residence","Moonee Valley (C)","Other Southeast Asian Languages",0
"Persons Place of Usual Residence","Moonee Valley (C)","Eastern Asian Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Chinese, nfd",54
"Persons Place of Usual Residence","Moonee Valley (C)","Cantonese",1819
"Persons Place of Usual Residence","Moonee Valley (C)","Hakka",110
"Persons Place of Usual Residence","Moonee Valley (C)","Mandarin",2078
"Persons Place of Usual Residence","Moonee Valley (C)","Wu",10
"Persons Place of Usual Residence","Moonee Valley (C)","Min Nan",55
"Persons Place of Usual Residence","Moonee Valley (C)","Chinese, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Japanese",274
"Persons Place of Usual Residence","Moonee Valley (C)","Korean",263
"Persons Place of Usual Residence","Moonee Valley (C)","Other Eastern Asian Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Tibetan",3
"Persons Place of Usual Residence","Moonee Valley (C)","Mongolian",18
"Persons Place of Usual Residence","Moonee Valley (C)","Other Eastern Asian Languages, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Australian Indigenous Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Arnhem Land and Daly River Region Languages, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Anindilyakwa",0
"Persons Place of Usual Residence","Moonee Valley (C)","Maung",0
"Persons Place of Usual Residence","Moonee Valley (C)","Ngan'gikurunggurr",0
"Persons Place of Usual Residence","Moonee Valley (C)","Nunggubuyu",0
"Persons Place of Usual Residence","Moonee Valley (C)","Rembarrnga",0
"Persons Place of Usual Residence","Moonee Valley (C)","Tiwi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Alawa",0
"Persons Place of Usual Residence","Moonee Valley (C)","Dalabon",0
"Persons Place of Usual Residence","Moonee Valley (C)","Gudanji",0
"Persons Place of Usual Residence","Moonee Valley (C)","Iwaidja",0
"Persons Place of Usual Residence","Moonee Valley (C)","Jaminjung",0
"Persons Place of Usual Residence","Moonee Valley (C)","Jawoyn",0
"Persons Place of Usual Residence","Moonee Valley (C)","Jingulu",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kunbarlang",0
"Persons Place of Usual Residence","Moonee Valley (C)","Larrakiya",0
"Persons Place of Usual Residence","Moonee Valley (C)","Malak Malak",0
"Persons Place of Usual Residence","Moonee Valley (C)","Mangarrayi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Maringarr",0
"Persons Place of Usual Residence","Moonee Valley (C)","Marra",0
"Persons Place of Usual Residence","Moonee Valley (C)","Marrithiyel",0
"Persons Place of Usual Residence","Moonee Valley (C)","Matngala",0
"Persons Place of Usual Residence","Moonee Valley (C)","Murrinh Patha",0
"Persons Place of Usual Residence","Moonee Valley (C)","Na-kara",0
"Persons Place of Usual Residence","Moonee Valley (C)","Ndjebbana (Gunavidji)",0
"Persons Place of Usual Residence","Moonee Valley (C)","Ngalakgan",0
"Persons Place of Usual Residence","Moonee Valley (C)","Ngaliwurru",0
"Persons Place of Usual Residence","Moonee Valley (C)","Nungali",0
"Persons Place of Usual Residence","Moonee Valley (C)","Wambaya",0
"Persons Place of Usual Residence","Moonee Valley (C)","Wardaman",0
"Persons Place of Usual Residence","Moonee Valley (C)","Amurdak",0
"Persons Place of Usual Residence","Moonee Valley (C)","Garrwa",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kuwema",0
"Persons Place of Usual Residence","Moonee Valley (C)","Marramaninyshi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Ngandi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Waanyi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Wagiman",0
"Persons Place of Usual Residence","Moonee Valley (C)","Yanyuwa",0
"Persons Place of Usual Residence","Moonee Valley (C)","Marridan (Maridan)",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kunwinjkuan, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Gundjeihmi",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kune",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kuninjku",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kunwinjku",0
"Persons Place of Usual Residence","Moonee Valley (C)","Mayali",0
"Persons Place of Usual Residence","Moonee Valley (C)","Kunwinjkuan, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Burarran, nfd",0
"Persons Place of Usual Residence","Moonee Valley (C)","Burarra",0
"Persons Place of Usual Residence","Moonee Valley (C)","Gun-nartpa",0
"Persons Place of Usual Residence","Moonee Valley (C)","Gurr-goni",0
"Persons Place of Usual Residence","Moonee Valley (C)","Burarran, nec",0
"Persons Place of Usual Residence","Moonee Valley (C)","Arnhem Land and Daly River Region Languages, nec",0
