Australian Bureau of Statistics,,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
LANP - 4 Digit Level and ENGP Proficiency in Spoken English by LGA (UR),,,,
Counting: Persons Place of Usual Residence,,,,
,,,,
Filters:,,,,
Default Summation,Persons Place of Usual Residence,,,
LGA (UR),Moonee Valley (C),,,
,,,,
Counting,LGA (UR),LANP - 4 Digit Level,ENGP Proficiency in Spoken English,Count
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Northern European Languages, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),Very well,5
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),Well,0
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Gaelic (Scotland),Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Irish,Very well,6
Persons Place of Usual Residence,Moonee Valley (C),Irish,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Irish,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Irish,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Irish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Irish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Irish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Welsh,Very well,5
Persons Place of Usual Residence,Moonee Valley (C),Welsh,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Welsh,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Welsh,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Welsh,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Welsh,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Welsh,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nec",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nec",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nec",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nec",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nec",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Celtic, nec","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
