SA1_7DigitCode_2016,Neighbourhood,Usual Resident Population,Score,Decile
2111302,ASCOT VALE,406,1106,9
2111303,ASCOT VALE,617,1131,10
2111304,ASCOT VALE,602,1103,9
2111305,ASCOT VALE,773,1117,9
2111306,ASCOT VALE,660,1147,10
2111307,ASCOT VALE,1251,1145,10
2111308,ASCOT VALE,361,1120,10
2111309,ASCOT VALE,404,1073,8
2111310,ASCOT VALE,275,1087,8
2111311,ASCOT VALE,657,1104,9
2111312,ASCOT VALE,534,1071,8
2111313,ASCOT VALE,399,1076,8
2111314,ASCOT VALE,387,1093,9
2111315,ASCOT VALE,445,1128,10
2111316,ASCOT VALE,420,875,1
2111317,ASCOT VALE,536,569,1
2111318,ASCOT VALE,329,534,1
2111319,FLEMINGTON,547,1113,9
2111320,ASCOT VALE,386,887,2
2111321,ASCOT VALE,451,585,1
2111322,FLEMINGTON,361,1104,9
2111323,FLEMINGTON,386,1066,8
2111324,FLEMINGTON,550,1086,8
2111325,FLEMINGTON,387,1097,9
2111326,ASCOT VALE,452,1083,8
2111327,FLEMINGTON,545,1082,8
2111328,FLEMINGTON,427,1099,9
2111329,FLEMINGTON,250,1106,9
2111330,ASCOT VALE,328,1075,8
2111331,FLEMINGTON,345,1045,7
2111332,FLEMINGTON,276,898,2
2111401,ESSENDON,234,1109,9
2111402,ESSENDON,570,1064,8
2111403,KEILOR ROAD / ESSENDON NORTH,400,1031,6
2111404,KEILOR ROAD / ESSENDON NORTH,429,1050,7
2111405,KEILOR ROAD / ESSENDON NORTH,405,1060,7
2111406,NIDDRIE / ESSENDON WEST,548,1076,8
2111407,NIDDRIE / ESSENDON WEST,607,1074,8
2111408,NIDDRIE / ESSENDON WEST,424,1088,9
2111409,NIDDRIE / ESSENDON WEST,601,1106,9
2111410,NIDDRIE / ESSENDON WEST,582,1080,8
2111411,NIDDRIE / ESSENDON WEST,288,1069,8
2111412,ABERFELDIE,378,1121,10
2111413,ABERFELDIE,688,1059,7
2111414,ABERFELDIE,569,1114,9
2111415,ABERFELDIE,238,1121,10
2111416,ABERFELDIE,374,1151,10
