LGA_2016,Local Government Areas - 2016,SEIFAINDEXTYPE,Index Type,SEIFA_MEASURE,Measure,TIME,Time,Value,Flag Codes,Flags
20110,Alpine (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,988,,
20110,Alpine (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,390,,
20110,Alpine (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
20110,Alpine (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,72,,
20110,Alpine (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,47,,
20110,Alpine (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
20110,Alpine (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,59,,
20110,Alpine (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,855,,
20110,Alpine (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1082,,
20110,Alpine (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,12337,,
20260,Ararat (RC),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,946,,
20260,Ararat (RC),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,233,,
20260,Ararat (RC),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,5,,
20260,Ararat (RC),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,43,,
20260,Ararat (RC),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,15,,
20260,Ararat (RC),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
20260,Ararat (RC),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,19,,
20260,Ararat (RC),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,777,,
20260,Ararat (RC),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1127,,
20260,Ararat (RC),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,11600,,
20570,Ballarat (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,986,,
20570,Ballarat (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,387,,
20570,Ballarat (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
20570,Ballarat (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,71,,
20570,Ballarat (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,45,,
20570,Ballarat (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
20570,Ballarat (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,56,,
20570,Ballarat (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,683,,
20570,Ballarat (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1180,,
20570,Ballarat (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,101686,,
20660,Banyule (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1073,,
20660,Banyule (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,489,,
20660,Banyule (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
20660,Banyule (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,90,,
20660,Banyule (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,67,,
20660,Banyule (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
20660,Banyule (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,83,,
20660,Banyule (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,911,,
20660,Banyule (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1193,,
20660,Banyule (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,121865,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,961,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,287,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,53,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,23,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,29,,
