Alcohol - Hospitalisation - Admission

Region,Map area,2009/10 - Alcohol Hospital Admission Total,2010/11 - Alcohol Hospital Admission Total,2011/12 - Alcohol Hospital Admission Total,2012/13 - Alcohol Hospital Admission Total,2013/14 - Alcohol Hospital Admission Total,2014/15 - Alcohol Hospital Admission Total,2015/16 - Alcohol Hospital Admission Total,2016/17 - Alcohol Hospital Admission Total,2017/18 - Alcohol Hospital Admission Total,2018/19 - Alcohol Hospital Admission Total,2009/10 - Alcohol Hospital Admission Male,2010/11 - Alcohol Hospital Admission Male,2011/12 - Alcohol Hospital Admission Male,2012/13 - Alcohol Hospital Admission Male,2013/14 - Alcohol Hospital Admission Male,2014/15 - Alcohol Hospital Admission Male,2015/16 - Alcohol Hospital Admission Male,2016/17 - Alcohol Hospital Admission Male,2017/18 - Alcohol Hospital Admission Male,2018/19 - Alcohol Hospital Admission Male,2009/10 - Alcohol Hospital Admission Female,2010/11 - Alcohol Hospital Admission Female,2011/12 - Alcohol Hospital Admission Female,2012/13 - Alcohol Hospital Admission Female,2013/14 - Alcohol Hospital Admission Female,2014/15 - Alcohol Hospital Admission Female,2015/16 - Alcohol Hospital Admission Female,2016/17 - Alcohol Hospital Admission Female,2017/18 - Alcohol Hospital Admission Female,2018/19 - Alcohol Hospital Admission Female,2009/10 - Alcohol Hospital Admission 0-14yrs,2010/11 - Alcohol Hospital Admission 0-14yrs,2011/12 - Alcohol Hospital Admission 0-14yrs,2012/13 - Alcohol Hospital Admission 0-14yrs,2013/14 - Alcohol Hospital Admission 0-14yrs,2014/15 - Alcohol Hospital Admission 0-14yrs,2015/16 - Alcohol Hospital Admission 0-14yrs,2016/17 - Alcohol Hospital Admission 0-14yrs,2017/18 - Alcohol Hospital Admission 0-14yrs,2018/19 - Alcohol Hospital Admission 0-14yrs,2009/10 - Alcohol Hospital Admission 15-24yrs,2010/11 - Alcohol Hospital Admission 15-24yrs,2011/12 - Alcohol Hospital Admission 15-24yrs,2012/13 - Alcohol Hospital Admission 15-24yrs,2013/14 - Alcohol Hospital Admission 15-24yrs,2014/15 - Alcohol Hospital Admission 15-24yrs,2015/16 - Alcohol Hospital Admission 15-24yrs,2016/17 - Alcohol Hospital Admission 15-24yrs,2017/18 - Alcohol Hospital Admission 15-24yrs,2018/19 - Alcohol Hospital Admission 15-24yrs,2009/10 - Alcohol Hospital Admission 25-39yrs,2010/11 - Alcohol Hospital Admission 25-39yrs,2011/12 - Alcohol Hospital Admission 25-39yrs,2012/13 - Alcohol Hospital Admission 25-39yrs,2013/14 - Alcohol Hospital Admission 25-39yrs,2014/15 - Alcohol Hospital Admission 25-39yrs,2015/16 - Alcohol Hospital Admission 25-39yrs,2016/17 - Alcohol Hospital Admission 25-39yrs,2017/18 - Alcohol Hospital Admission 25-39yrs,2018/19 - Alcohol Hospital Admission 25-39yrs,2009/10 - Alcohol Hospital Admission 40-64yrs,2010/11 - Alcohol Hospital Admission 40-64yrs,2011/12 - Alcohol Hospital Admission 40-64yrs,2012/13 - Alcohol Hospital Admission 40-64yrs,2013/14 - Alcohol Hospital Admission 40-64yrs,2014/15 - Alcohol Hospital Admission 40-64yrs,2015/16 - Alcohol Hospital Admission 40-64yrs,2016/17 - Alcohol Hospital Admission 40-64yrs,2017/18 - Alcohol Hospital Admission 40-64yrs,2018/19 - Alcohol Hospital Admission 40-64yrs,2009/10 - Alcohol Hospital Admission 65+yrs,2010/11 - Alcohol Hospital Admission 65+yrs,2011/12 - Alcohol Hospital Admission 65+yrs,2012/13 - Alcohol Hospital Admission 65+yrs,2013/14 - Alcohol Hospital Admission 65+yrs,2014/15 - Alcohol Hospital Admission 65+yrs,2015/16 - Alcohol Hospital Admission 65+yrs,2016/17 - Alcohol Hospital Admission 65+yrs,2017/18 - Alcohol Hospital Admission 65+yrs,2018/19 - Alcohol Hospital Admission 65+yrs
Hume,Alpine,37,50,28,61,61,37,48,58,64,47,22,42,21,48,43,24,25,20,33,27,15,8,7,13,18,13,23,38,31,20,0,0,0,0,0,0, ,0,0,0, , ,0, , ,0, , , , , , , ,10, , ,8, , ,11,21,39,17,41,41,25,32,36,35,27,8,6, , ,12, ,5,11,14, 
Grampians,Ararat,38,40,46,31,51,44,62,48,45,39,23,24,28,26,37,38,46,33,37,24,15,16,18,5,14,6,16,15,8,15,0, ,0,0, ,0,0,0,0,0, , , , , , , ,6, , , ,7, , ,6, , ,6, , ,29,25,28,22,31,30,43,30,28,23, , ,9,5,10,9,11,6,14,8
Grampians,Ballarat,291,304,383,408,414,392,453,603,482,487,174,204,295,318,314,287,299,387,299,310,117,100,88,90,100,105,154,216,183,177,0,0,0, , ,0, ,0, , ,20,26,30, , ,30, ,44, , ,101,69,80,66,62,64,85,113,98,82,116,166,190,216,216,203,269,345,286,273,54,43,83,88,110,95,69,101,65,104
North/West,Banyule,672,400,473,391,888,585,500,621,624,630,318,256,315,250,288,327,321,410,385,406,354,144,158,141,180,258,179,211,239,224,0,0, , ,0,0, ,0,0,0,39,40, , ,40,34, ,36,31,46,168,109,108,64,113,108,74,115,146,125,380,158,230,201,221,263,243,311,327,347,85,93,99,106,94,180,150,159,120,112
Gippsland,Bass Coast,176,128,114,154,169,185,233,232,228,214,119,101,72,108,120,127,129,144,139,118,57,27,42,46,91,58,104,88,89,96,0,0, ,0,0,0,0, , ,0,10,6, ,10,5,9,10, , ,7,31,16,20,17,23,40,30,20,40,25,103,75,55,86,80,91,149,141,117,122,32,31,34,41,61,45,44,61,64,60
Gippsland,Baw Baw,105,80,91,116,125,156,132,142,183,138,57,53,65,101,77,109,86,93,122,101,48,27,26,15,48,47,46,49,61,37,0,0, , ,0,0,0,0,0,0,12,10,10, ,9,9,9,7,17,13,28,19,25,18,10,25,22,43,40,23,54,41,49,71,85,94,57,49,76,69,11,10, ,21,21,28,44,43,50,33
Southern,Bayside,891,612,687,668,716,1022,926,1226,957,903,308,270,225,296,309,465,432,556,486,405,541,342,462,372,407,557,494,670,471,498,0,0,0,0, , , ,0, ,0,64,26,35,19, , , ,66, ,70,157,45,71,69,77,113,151,154,118,161,889,487,460,430,352,572,369,563,390,334,159,54,121,150,243,293,339,443,376,338
Hume,Benalla,66,86,56,66,81,85,72,70,76,104,36,64,47,54,66,61,52,46,50,45,30,22,9,12,15,24,20,24,26,59,0,0,0,0,0, , ,0,0,0,7, , , , , , , , , ,8,14,8,12, ,17,14,23,24,39,45,60,40,44,91,57,35,35,33,45,6, , , ,19,6,18, , , 
Eastern,Boroondara,1347,985,1056,1002,881,1237,1209,1176,1225,1286,670,493,434,470,881,747,697,658,678,643,677,492,622,532,420,490,512,518,547,643,0,0, ,0, , , , , , ,52,60, ,51, ,192, , , , ,263,232,227,201,195, ,239,194,309,190,876,569,602,592,483,656,556,594,667,791,156,124,119,158,158,225,315,296,169,227
North/West,Brimbank,426,400,489,636,743,758,675,831,716,742,298,301,378,514,551,548,502,583,505,492,128,99,111,122,192,210,173,248,211,250, , ,0, , , , ,0, ,0, , ,41, , , , ,65, ,57,78,88,88,95,123,163,124,195,136,152,234,177,230,335,394,366,328,385,355,358,88,108,130,162,175,186,185,186,170,175
Loddon,Buloke,30,43,41,24,34,22,22,28,23,36,19,31,33,10,23,15,12, ,16,28,11,12,8,14,11,7,10, ,7,8,0,0,0,0, ,0,0,0,0,0, ,5, , , ,0, ,0, , ,8,7,8,7, , ,0, , , ,17,24,25,12,18,15, ,16,13,23, ,7, , ,8, ,12, ,8,8
Loddon,Campaspe,116,119,142,91,178,123,135,189,186,177,83,93,98,64,129,98,110,139,129,136,33,26,44,27,91,25,25,50,57,41,0,0,0, ,0,0,0,0,0,0,12,5,10, ,14,5,9,8, ,8,13,24,30,19,37,20,24,18,36,21,78,67,86,45,102,73,74,119,113,121,13,23,16,17,25,25,28,44, ,27
Southern,Cardinia,287,361,332,357,442,513,477,567,522,476,191,204,184,154,177,221,242,336,277,265,96,157,148,203,265,292,235,231,245,211, ,0, ,0, ,0, , , , , ,12, ,17, ,41,40, , , ,43,51,55,37,116,133,109,95,142,98,167,249,206,269,282,281,292,355,267,246,61,49,48,34,24,58, ,66,68,83
