name,safety,cat,group,year,count,pct,n,grouplab,lower,upper
At public transport stops and stations,'Very safe' or 'safe',Age group,18-34 years,2020,220,70.3,313,18-34 years (n= 313),65.0036196590767,75.07951859962934
At public transport stops and stations,'Very safe' or 'safe',Age group,35-49 years,2020,208,80,260,35-49 years (n= 260),74.7169369906119,84.40947956927272
At public transport stops and stations,'Very safe' or 'safe',Age group,50-64 years,2020,161,79.3,203,50-64 years (n= 203),73.21881591242901,84.31317050773941
At public transport stops and stations,'Very safe' or 'safe',Age group,65+ years,2020,143,82.2,174,65+ years (n= 174),75.82209841265338,87.15534269848949
At public transport stops and stations,'Very safe' or 'safe',Gender,Female,2020,359,79.2,453,Female (n= 453),75.27678253399768,82.730211989678
At public transport stops and stations,'Very safe' or 'safe',Gender,Male,2020,335,74.4,450,Male (n= 450),70.21934085469354,78.25573688978345
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Aberfeldie,2020,25,80.6,31,Aberfeldie (n= 31),63.719742188204535,90.81299163841389
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Airport West,2020,41,80.4,51,Airport West (n= 51),67.54192051863438,88.98465748753331
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Ascot Vale,2020,75,74.3,101,Ascot Vale (n= 101),64.95247830925932,81.78475765748033
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Avondale Heights,2020,26,47.3,55,Avondale Heights (n= 55),34.693098361319315,60.20845564477389
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Essendon,2020,100,87.7,114,Essendon (n= 114),80.43752960520771,92.54187922140598
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Flemington,2020,85,70.8,120,Flemington (n= 120),62.15576502025924,78.21843637896147
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Keilor East,2020,37,67.3,55,Keilor East (n= 55),54.10322355657868,78.18693440483106
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Keilor Road / Essendon North,2020,53,81.5,65,Keilor Road / Essendon North (n= 65),70.44600616636224,89.11112801173448
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Milleara,2020,76,81.7,93,Milleara (n= 93),72.66221581223748,88.26210391454494
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Moonee Ponds,2020,111,88.8,125,Moonee Ponds (n= 125),82.07616439023666,93.21016105799721
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Niddrie / Essendon West,2020,41,71.9,57,Niddrie / Essendon West (n= 57),59.16980132395605,81.92060065617645
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Strathmore,2020,41,80.4,51,Strathmore (n= 51),67.54192051863438,88.98465748753331
At public transport stops and stations,'Very safe' or 'safe',Neighbourhood,Strathmore Heights,2020,19,61.3,31,Strathmore Heights (n= 31),43.824108619660734,76.26689857961975
At public transport stops and stations,'Very safe' or 'safe',Overall,Overall (2020),2020,732,77,951,Overall (2020) (n= 951),74.19047482781423,79.5357218366662
At public transport stops and stations,'Very safe' or 'safe',Ward,Buckley,2020,236,80.8,292,Buckley (n= 292),75.91760997929319,84.92578929190084
At public transport stops and stations,'Very safe' or 'safe',Ward,Myrnong,2020,281,78.7,357,Myrnong (n= 357),74.17119252269758,82.64046117972984
At public transport stops and stations,'Very safe' or 'safe',Ward,Rose Hill,2020,213,71.2,299,Rose Hill (n= 299),65.8628554423782,76.07327856468783
At public transport stops and stations,Other,Age group,18-34 years,2020,93,29.7,313,18-34 years (n= 313),24.920481400370665,34.99638034092328
At public transport stops and stations,Other,Age group,35-49 years,2020,52,20,260,35-49 years (n= 260),15.590520430727285,25.283063009388112
At public transport stops and stations,Other,Age group,50-64 years,2020,42,20.7,203,50-64 years (n= 203),15.686829492260589,26.781184087571
At public transport stops and stations,Other,Age group,65+ years,2020,31,17.8,174,65+ years (n= 174),12.84465730151052,24.177901587346632
At public transport stops and stations,Other,Gender,Female,2020,94,20.8,453,Female (n= 453),17.26978801032202,24.723217466002335
At public transport stops and stations,Other,Gender,Male,2020,115,25.6,450,Male (n= 450),21.744263110216547,29.78065914530646
At public transport stops and stations,Other,Neighbourhood,Aberfeldie,2020,6,19.4,31,Aberfeldie (n= 31),9.187008361586093,36.28025781179546
At public transport stops and stations,Other,Neighbourhood,Airport West,2020,10,19.6,51,Airport West (n= 51),11.015342512466692,32.45807948136561
At public transport stops and stations,Other,Neighbourhood,Ascot Vale,2020,26,25.7,101,Ascot Vale (n= 101),18.21524234251967,35.04752169074069
At public transport stops and stations,Other,Neighbourhood,Avondale Heights,2020,29,52.7,55,Avondale Heights (n= 55),39.79154435522611,65.30690163868069
At public transport stops and stations,Other,Neighbourhood,Essendon,2020,14,12.3,114,Essendon (n= 114),7.458120778594022,19.562470394792275
At public transport stops and stations,Other,Neighbourhood,Flemington,2020,35,29.2,120,Flemington (n= 120),21.781563621038543,37.844234979740776
At public transport stops and stations,Other,Neighbourhood,Keilor East,2020,18,32.7,55,Keilor East (n= 55),21.81306559516894,45.89677644342132
At public transport stops and stations,Other,Neighbourhood,Keilor Road / Essendon North,2020,12,18.5,65,Keilor Road / Essendon North (n= 65),10.888871988265523,29.553993833637765
At public transport stops and stations,Other,Neighbourhood,Milleara,2020,17,18.3,93,Milleara (n= 93),11.73789608545508,27.337784187762526
At public transport stops and stations,Other,Neighbourhood,Moonee Ponds,2020,14,11.2,125,Moonee Ponds (n= 125),6.789838942002799,17.923835609763337
At public transport stops and stations,Other,Neighbourhood,Niddrie / Essendon West,2020,16,28.1,57,Niddrie / Essendon West (n= 57),18.079399343823546,40.83019867604394
At public transport stops and stations,Other,Neighbourhood,Strathmore,2020,10,19.6,51,Strathmore (n= 51),11.015342512466692,32.45807948136561
At public transport stops and stations,Other,Neighbourhood,Strathmore Heights,2020,12,38.7,31,Strathmore Heights (n= 31),23.733101420380255,56.17589138033926
At public transport stops and stations,Other,Overall,Overall (2020),2020,219,23,951,Overall (2020) (n= 951),20.46427816333381,25.809525172185765
At public transport stops and stations,Other,Ward,Buckley,2020,56,19.2,292,Buckley (n= 292),15.074210708099159,24.082390020706807
At public transport stops and stations,Other,Ward,Myrnong,2020,76,21.3,357,Myrnong (n= 357),17.359538820270163,25.82880747730242
At public transport stops and stations,Other,Ward,Rose Hill,2020,86,28.8,299,Rose Hill (n= 299),23.92672143531215,34.1371445576218
When walking alone in your local area at night,'Very safe' or 'safe',Age group,18-34 years,2020,131,41.3,317,18-34 years (n= 317),36.03968671621792,46.817890293261584
When walking alone in your local area at night,'Very safe' or 'safe',Age group,35-49 years,2020,130,50,260,35-49 years (n= 260),43.96681593146635,56.03318406853365
When walking alone in your local area at night,'Very safe' or 'safe',Age group,50-64 years,2020,97,48.5,200,50-64 years (n= 200),41.66738517187752,55.389150807254275
When walking alone in your local area at night,'Very safe' or 'safe',Age group,65+ years,2020,59,38.8,152,65+ years (n= 152),31.43529637892504,46.74765939081062
When walking alone in your local area at night,'Very safe' or 'safe',Gender,Female,2020,166,38.1,436,Female (n= 436),33.638520160000965,42.71659645887223
When walking alone in your local area at night,'Very safe' or 'safe',Gender,Male,2020,244,54.2,450,Male (n= 450),49.602688659127075,58.77027931491896
When walking alone in your local area at night,'Very safe' or 'safe',Neighbourhood,Aberfeldie,2020,14,42.4,33,Aberfeldie (n= 33),27.235596633410204,59.19273666268755
When walking alone in your local area at night,'Very safe' or 'safe',Neighbourhood,Airport West,2020,19,38.8,49,Airport West (n= 49),26.42901171173568,52.75400055647956
