region,bedrooms,type,month,values
Alpine,1 bedroom,Affordable lettings,2000-03-31,2
Alpine,1 bedroom,Proportion affordable,2000-03-31,1
Alpine,1 bedroom,Affordable lettings,2000-06-30,2
Alpine,1 bedroom,Proportion affordable,2000-06-30,0.4
Alpine,1 bedroom,Affordable lettings,2000-09-30,3
Alpine,1 bedroom,Proportion affordable,2000-09-30,1
Alpine,1 bedroom,Affordable lettings,2000-12-31,3
Alpine,1 bedroom,Proportion affordable,2000-12-31,1
Alpine,1 bedroom,Affordable lettings,2001-03-31,2
Alpine,1 bedroom,Proportion affordable,2001-03-31,1
Alpine,1 bedroom,Affordable lettings,2001-06-30,4
Alpine,1 bedroom,Proportion affordable,2001-06-30,0.8
Alpine,1 bedroom,Affordable lettings,2001-09-30,1
Alpine,1 bedroom,Proportion affordable,2001-09-30,1
Alpine,1 bedroom,Affordable lettings,2001-12-31,1
Alpine,1 bedroom,Proportion affordable,2001-12-31,0.5
Alpine,1 bedroom,Affordable lettings,2002-03-31,1
Alpine,1 bedroom,Proportion affordable,2002-03-31,1
Alpine,1 bedroom,Affordable lettings,2002-06-30,3
Alpine,1 bedroom,Proportion affordable,2002-06-30,0.75
Alpine,1 bedroom,Affordable lettings,2002-09-30,2
Alpine,1 bedroom,Proportion affordable,2002-09-30,0.66700000000000004
Alpine,1 bedroom,Affordable lettings,2003-12-31,2
Alpine,1 bedroom,Proportion affordable,2003-12-31,0.66700000000000004
Alpine,1 bedroom,Affordable lettings,2003-03-31,3
Alpine,1 bedroom,Proportion affordable,2003-03-31,0.75
Alpine,1 bedroom,Affordable lettings,2003-06-30,3
Alpine,1 bedroom,Proportion affordable,2003-06-30,0.6
Alpine,1 bedroom,Affordable lettings,2003-09-30,1
Alpine,1 bedroom,Proportion affordable,2003-09-30,1
Alpine,1 bedroom,Affordable lettings,2003-12-31,1
Alpine,1 bedroom,Proportion affordable,2003-12-31,0.5
Alpine,1 bedroom,Affordable lettings,2004-03-31,1
Alpine,1 bedroom,Proportion affordable,2004-03-31,0.25
Alpine,1 bedroom,Affordable lettings,2004-06-30,3
Alpine,1 bedroom,Proportion affordable,2004-06-30,0.6
Alpine,1 bedroom,Affordable lettings,2004-09-30,6
Alpine,1 bedroom,Proportion affordable,2004-09-30,0.75
Alpine,1 bedroom,Affordable lettings,2004-12-31,3
Alpine,1 bedroom,Proportion affordable,2004-12-31,1
Alpine,1 bedroom,Affordable lettings,2005-03-31,4
Alpine,1 bedroom,Proportion affordable,2005-03-31,0.8
Alpine,1 bedroom,Affordable lettings,2005-06-30,5
Alpine,1 bedroom,Proportion affordable,2005-06-30,0.55600000000000005
Alpine,1 bedroom,Affordable lettings,2005-09-30,6
Alpine,1 bedroom,Proportion affordable,2005-09-30,0.85699999999999998
Alpine,1 bedroom,Affordable lettings,2005-12-31,6
Alpine,1 bedroom,Proportion affordable,2005-12-31,0.75
Alpine,1 bedroom,Affordable lettings,2006-03-31,1
Alpine,1 bedroom,Proportion affordable,2006-03-31,0.5
Alpine,1 bedroom,Affordable lettings,2006-06-30,1
Alpine,1 bedroom,Proportion affordable,2006-06-30,0.5
Alpine,1 bedroom,Affordable lettings,2006-09-30,1
Alpine,1 bedroom,Proportion affordable,2006-09-30,0.25
Alpine,1 bedroom,Affordable lettings,2006-12-31,3
Alpine,1 bedroom,Proportion affordable,2006-12-31,0.6
Alpine,1 bedroom,Affordable lettings,2007-03-31,1
Alpine,1 bedroom,Proportion affordable,2007-03-31,0.33300000000000002
Alpine,1 bedroom,Affordable lettings,2007-06-30,1
