selections,region,pct,ll,ul
Met fruit and vegetable consumption guidelines,Moonee Valley,3.2,1.8,5.6
Met fruit and vegetable consumption guidelines,Western Melbourne Area,2.9,2.2,3.8
Met fruit and vegetable consumption guidelines,Victoria,3.6,3.3,3.9
Met vegetable consumption guidelines only,Moonee Valley,4.4,2.8,6.9
Met vegetable consumption guidelines only,Western Melbourne Area,4.6,3.7,5.7
Met vegetable consumption guidelines only,Victoria,5.4,5,5.8
Met fruit consumption guidelines only,Moonee Valley,47.5,41.6,53.4
Met fruit consumption guidelines only,Western Melbourne Area,43.6,40.8,46.5
Met fruit consumption guidelines only,Victoria,43.2,42.3,44.1
Did not meet fruit and vegetable consumption guidelines,Moonee Valley,49.5,43.7,55.5
Did not meet fruit and vegetable consumption guidelines,Western Melbourne Area,50.6,47.8,53.5
Did not meet fruit and vegetable consumption guidelines,Victoria,51.7,50.8,52.6
