selections,region,pct,ll,ul
Excellent / Very good,Moonee Valley,43.5,37.6,49.6
Excellent / Very good,Western Melbourne Area,38.3,35.5,41.1
Excellent / Very good,West Division ,36.1,34.4,37.9
Excellent / Very good,Victoria,37.2,36.3,38.1
Good,Moonee Valley,31.7,26.3,37.8
Good,Western Melbourne Area,35.2,32.4,38.1
Good,West Division ,34.5,32.8,36.3
Good,Victoria,34,33.2,34.9
Fair/Poor,Moonee Valley,22,17.5,27.3
Fair/Poor,Western Melbourne Area,22.7,20.3,25.4
Fair/Poor,West Division ,24.3,22.7,25.9
Fair/Poor,Victoria,24.4,23.6,25.2
Not applicable,Moonee Valley,2.4,1.2,4.9
Not applicable,Western Melbourne Area,3.5,2.7,4.6
Not applicable,West Division ,4.7,4.1,5.5
Not applicable,Victoria,4,3.7,4.3
