lga,indicator,percentage,vic_point_est,vic_lower,vic_upper,comparison
Victoria,Obese,19.26897,19.26897,18.58293,19.97411,Not sig. diff.
Victoria,Overweight,50.80429,50.80429,49.90919,51.69888,Not sig. diff.
Victoria,Daily consumer of sugar sweetened soft drinks,10.09867,10.09867,9.516874,10.71183,Not sig. diff.
Victoria,Take away food consumed >1 day/week,15.2893,15.2893,14.59565,16.00974,Not sig. diff.
Victoria,Sedentary (inactive),2.539791,2.539791,2.256574,2.857514,Not sig. diff.
Victoria,Insufficiently physically active,44.08774,44.08774,43.18836,44.99101,Not sig. diff.
Victoria,Complied with vegetable consumption guidelines,5.388293,5.388293,5.0284,5.77238,Not sig. diff.
Victoria,Complied with fruit consumption guidelines,43.19355,43.19355,42.28772,44.10395,Not sig. diff.
Victoria,Daily smoker,12.42754,12.42754,11.80477,13.0783,Not sig. diff.
Victoria,Current (i.e. daily or occasional smoker),16.741,16.741,16.03742,17.46903,Not sig. diff.
Victoria,Increased lifetime risk of alcohol related harm,59.48907,59.48907,58.59407,60.37781,Not sig. diff.
Victoria,Incr. risk of injury from a single occasion of drinking,42.98549,42.98549,42.10708,43.86834,Not sig. diff.
Victoria,Fair or poor self reported health,20.28965,20.28965,19.55869,21.04079,Not sig. diff.
Victoria,Low or medium life satisfaction,20.45532,20.45532,19.69321,21.23913,Not sig. diff.
Victoria,High or very high levels of psychological distress,15.43,15.43,14.75,16.14,Not sig. diff.
Victoria,Doctor diagnosed hypertension,25.42567,25.42567,24.74985,26.11354,Not sig. diff.
Victoria,Anxiety or depression,27.36389,27.36389,26.566,28.17655,Not sig. diff.
Victoria,Arthritis,20.54975,20.54975,19.97896,21.13254,Not sig. diff.
Victoria,Asthma ever diagnosed,19.9574,19.9574,19.24135,20.69326,Not sig. diff.
Victoria,Cancer,8.055676,8.055676,7.650898,8.479904,Not sig. diff.
Victoria,Type 2 diabetes,5.452335,5.452335,5.114101,5.81157,Not sig. diff.
Victoria,Heart disease,6.74474,6.74474,6.381202,7.127412,Not sig. diff.
Victoria,Osteoporosis,5.669229,5.669229,5.326293,6.032838,Not sig. diff.
Victoria,Stroke,2.364184,2.364184,2.142138,2.608632,Not sig. diff.
Victoria,Two or more chronic diseases,25.48854,25.48854,24.80298,26.18645,Not sig. diff.
Victoria,Had a blood lipids test in last 2 years,56.78789,56.78789,55.95063,57.62128,Not sig. diff.
Victoria,Had a blood pressure test in last 2 years,79.5963,79.5963,78.80486,80.36555,Not sig. diff.
Victoria,Had a blood glucose test in last 2 years,50.72365,50.72365,49.86354,51.58334,Not sig. diff.
Victoria,Had a faecal occult blood test 50 years of age,60.14296,60.14296,58.76671,61.50336,Not sig. diff.
Victoria,Had a bowel exam to detect cancer last 5 years,46.75256,46.75256,45.59576,47.91285,Not sig. diff.
Victoria,Had a mammogram to detect cancer in last 2 years,79.2266,79.2266,77.66267,80.70823,Not sig. diff.
Alpine (S),Obese,25.61235,19.26897,18.58293,19.97411,Significantly higher
Alpine (S),Overweight,58.81481,50.80429,49.90919,51.69888,Significantly higher
Alpine (S),Daily consumer of sugar sweetened soft drinks,7.524095,10.09867,9.516874,10.71183,Significantly lower
Alpine (S),Take away food consumed >1 day/week,7.460271,15.2893,14.59565,16.00974,Significantly lower
Alpine (S),Sedentary (inactive),0.8657284,2.539791,2.256574,2.857514,Significantly lower
Alpine (S),Insufficiently physically active,45.31205,44.08774,43.18836,44.99101,Significantly higher
Alpine (S),Complied with vegetable consumption guidelines,8.152531,5.388293,5.0284,5.77238,Significantly higher
Alpine (S),Complied with fruit consumption guidelines,40.5504,43.19355,42.28772,44.10395,Significantly lower
Alpine (S),Daily smoker,16.59514,12.42754,11.80477,13.0783,Significantly higher
Alpine (S),Current (i.e. daily or occasional smoker),22.05102,16.741,16.03742,17.46903,Significantly higher
Alpine (S),Increased lifetime risk of alcohol related harm,67.43256,59.48907,58.59407,60.37781,Significantly higher
Alpine (S),Incr. risk of injury from a single occasion of drinking,53.64262,42.98549,42.10708,43.86834,Significantly higher
Alpine (S),Fair or poor self reported health,16.12919,20.28965,19.55869,21.04079,Significantly lower
Alpine (S),Low or medium life satisfaction,16.51454,20.45532,19.69321,21.23913,Significantly lower
Alpine (S),High or very high levels of psychological distress,15.1,15.43,14.75,16.14,Not sig. diff.
Alpine (S),Doctor diagnosed hypertension,17.24,25.42567,24.74985,26.11354,Significantly lower
Alpine (S),Anxiety or depression,23.83754,27.36389,26.566,28.17655,Significantly lower
Alpine (S),Arthritis,20.66531,20.54975,19.97896,21.13254,Not sig. diff.
Alpine (S),Asthma ever diagnosed,17.9752,19.9574,19.24135,20.69326,Significantly lower
Alpine (S),Cancer,8.416611,8.055676,7.650898,8.479904,Not sig. diff.
Alpine (S),Type 2 diabetes,4.417968,5.452335,5.114101,5.81157,Significantly lower
Alpine (S),Heart disease,5.552991,6.74474,6.381202,7.127412,Significantly lower
Alpine (S),Osteoporosis,5.877363,5.669229,5.326293,6.032838,Not sig. diff.
Alpine (S),Stroke,2.38048,2.364184,2.142138,2.608632,Not sig. diff.
Alpine (S),Two or more chronic diseases,22.06043,25.48854,24.80298,26.18645,Significantly lower
Alpine (S),Had a blood lipids test in last 2 years,47.0362,56.78789,55.95063,57.62128,Significantly lower
Alpine (S),Had a blood pressure test in last 2 years,69.88124,79.5963,78.80486,80.36555,Significantly lower
Alpine (S),Had a blood glucose test in last 2 years,45.41227,50.72365,49.86354,51.58334,Significantly lower
Alpine (S),Had a faecal occult blood test 50 years of age,66.69169,60.14296,58.76671,61.50336,Significantly higher
Alpine (S),Had a bowel exam to detect cancer last 5 years,50.36985,46.75256,45.59576,47.91285,Significantly higher
Alpine (S),Had a mammogram to detect cancer in last 2 years,86.21254,79.2266,77.66267,80.70823,Significantly higher
Ararat (RC),Obese,20.80898,19.26897,18.58293,19.97411,Significantly higher
Ararat (RC),Overweight,54.63037,50.80429,49.90919,51.69888,Significantly higher
Ararat (RC),Daily consumer of sugar sweetened soft drinks,14.38595,10.09867,9.516874,10.71183,Significantly higher
Ararat (RC),Take away food consumed >1 day/week,13.67098,15.2893,14.59565,16.00974,Significantly lower
Ararat (RC),Sedentary (inactive),2.795547,2.539791,2.256574,2.857514,Not sig. diff.
Ararat (RC),Insufficiently physically active,36.36943,44.08774,43.18836,44.99101,Significantly lower
Ararat (RC),Complied with vegetable consumption guidelines,4.279253,5.388293,5.0284,5.77238,Significantly lower
Ararat (RC),Complied with fruit consumption guidelines,36.54699,43.19355,42.28772,44.10395,Significantly lower
Ararat (RC),Daily smoker,17.22465,12.42754,11.80477,13.0783,Significantly higher
Ararat (RC),Current (i.e. daily or occasional smoker),21.85546,16.741,16.03742,17.46903,Significantly higher
Ararat (RC),Increased lifetime risk of alcohol related harm,62.112,59.48907,58.59407,60.37781,Significantly higher
Ararat (RC),Incr. risk of injury from a single occasion of drinking,48.96995,42.98549,42.10708,43.86834,Significantly higher
Ararat (RC),Fair or poor self reported health,21.80474,20.28965,19.55869,21.04079,Significantly higher
Ararat (RC),Low or medium life satisfaction,21.63569,20.45532,19.69321,21.23913,Significantly higher
Ararat (RC),High or very high levels of psychological distress,14.68,15.43,14.75,16.14,Significantly lower
Ararat (RC),Doctor diagnosed hypertension,34.39413,25.42567,24.74985,26.11354,Significantly higher
Ararat (RC),Anxiety or depression,35.97069,27.36389,26.566,28.17655,Significantly higher
Ararat (RC),Arthritis,24.14882,20.54975,19.97896,21.13254,Significantly higher
Ararat (RC),Asthma ever diagnosed,33.93419,19.9574,19.24135,20.69326,Significantly higher
Ararat (RC),Cancer,10.08669,8.055676,7.650898,8.479904,Significantly higher
Ararat (RC),Type 2 diabetes,4.443062,5.452335,5.114101,5.81157,Significantly lower
Ararat (RC),Heart disease,7.790197,6.74474,6.381202,7.127412,Significantly higher
Ararat (RC),Osteoporosis,5.302834,5.669229,5.326293,6.032838,Significantly lower
Ararat (RC),Stroke,1.722604,2.364184,2.142138,2.608632,Significantly lower
Ararat (RC),Two or more chronic diseases,34.25206,25.48854,24.80298,26.18645,Significantly higher
Ararat (RC),Had a blood lipids test in last 2 years,46.74135,56.78789,55.95063,57.62128,Significantly lower
Ararat (RC),Had a blood pressure test in last 2 years,77.39081,79.5963,78.80486,80.36555,Significantly lower
Ararat (RC),Had a blood glucose test in last 2 years,45.81465,50.72365,49.86354,51.58334,Significantly lower
Ararat (RC),Had a faecal occult blood test 50 years of age,68.6111,60.14296,58.76671,61.50336,Significantly higher
Ararat (RC),Had a bowel exam to detect cancer last 5 years,54.20967,46.75256,45.59576,47.91285,Significantly higher
Ararat (RC),Had a mammogram to detect cancer in last 2 years,73.82013,79.2266,77.66267,80.70823,Significantly lower
Ballarat (C),Obese,23.55693,19.26897,18.58293,19.97411,Significantly higher
Ballarat (C),Overweight,51.83049,50.80429,49.90919,51.69888,Significantly higher
Ballarat (C),Daily consumer of sugar sweetened soft drinks,11.15708,10.09867,9.516874,10.71183,Significantly higher
Ballarat (C),Take away food consumed >1 day/week,16.68413,15.2893,14.59565,16.00974,Significantly higher
Ballarat (C),Sedentary (inactive),2.17171,2.539791,2.256574,2.857514,Significantly lower
Ballarat (C),Insufficiently physically active,49.35948,44.08774,43.18836,44.99101,Significantly higher
Ballarat (C),Complied with vegetable consumption guidelines,6.896079,5.388293,5.0284,5.77238,Significantly higher
Ballarat (C),Complied with fruit consumption guidelines,51.25347,43.19355,42.28772,44.10395,Significantly higher
Ballarat (C),Daily smoker,13.48872,12.42754,11.80477,13.0783,Significantly higher
Ballarat (C),Current (i.e. daily or occasional smoker),15.70825,16.741,16.03742,17.46903,Significantly lower
Ballarat (C),Increased lifetime risk of alcohol related harm,62.79705,59.48907,58.59407,60.37781,Significantly higher
Ballarat (C),Incr. risk of injury from a single occasion of drinking,45.90964,42.98549,42.10708,43.86834,Significantly higher
Ballarat (C),Fair or poor self reported health,22.4397,20.28965,19.55869,21.04079,Significantly higher
Ballarat (C),Low or medium life satisfaction,20.50742,20.45532,19.69321,21.23913,Not sig. diff.
Ballarat (C),High or very high levels of psychological distress,17.94,15.43,14.75,16.14,Significantly higher
Ballarat (C),Doctor diagnosed hypertension,23.84817,25.42567,24.74985,26.11354,Significantly lower
Ballarat (C),Anxiety or depression,36.18317,27.36389,26.566,28.17655,Significantly higher
Ballarat (C),Arthritis,21.04778,20.54975,19.97896,21.13254,Not sig. diff.
Ballarat (C),Asthma ever diagnosed,23.99121,19.9574,19.24135,20.69326,Significantly higher
Ballarat (C),Cancer,9.755573,8.055676,7.650898,8.479904,Significantly higher
Ballarat (C),Type 2 diabetes,4.015668,5.452335,5.114101,5.81157,Significantly lower
Ballarat (C),Heart disease,8.25598,6.74474,6.381202,7.127412,Significantly higher
Ballarat (C),Osteoporosis,5.221105,5.669229,5.326293,6.032838,Significantly lower
Ballarat (C),Stroke,2.154139,2.364184,2.142138,2.608632,Not sig. diff.
Ballarat (C),Two or more chronic diseases,27.38312,25.48854,24.80298,26.18645,Significantly higher
Ballarat (C),Had a blood lipids test in last 2 years,46.84044,56.78789,55.95063,57.62128,Significantly lower
Ballarat (C),Had a blood pressure test in last 2 years,78.89218,79.5963,78.80486,80.36555,Not sig. diff.
Ballarat (C),Had a blood glucose test in last 2 years,43.51482,50.72365,49.86354,51.58334,Significantly lower
Ballarat (C),Had a faecal occult blood test 50 years of age,67.96301,60.14296,58.76671,61.50336,Significantly higher
Ballarat (C),Had a bowel exam to detect cancer last 5 years,48.68154,46.75256,45.59576,47.91285,Significantly higher
Ballarat (C),Had a mammogram to detect cancer in last 2 years,74.49493,79.2266,77.66267,80.70823,Significantly lower
Banyule (C),Obese,18.49581,19.26897,18.58293,19.97411,Significantly lower
Banyule (C),Overweight,49.25548,50.80429,49.90919,51.69888,Significantly lower
Banyule (C),Daily consumer of sugar sweetened soft drinks,7.32531,10.09867,9.516874,10.71183,Significantly lower
Banyule (C),Take away food consumed >1 day/week,18.19952,15.2893,14.59565,16.00974,Significantly higher
Banyule (C),Sedentary (inactive),2.77727,2.539791,2.256574,2.857514,Not sig. diff.
Banyule (C),Insufficiently physically active,40.5342,44.08774,43.18836,44.99101,Significantly lower
